,names,scores,logfoldchanges,pvals,pvals_adj
7385,CG31087,-1.0856068,-24.643442,0.27765295780274024,0.293393506525758
7386,sNPF-R,-1.0937084,-24.17975,0.2740828817180274,0.28973643984510294
7387,CR46407,-1.10181,-24.353584,0.27054429919546397,0.28618581569599916
7388,CG34288,-1.10181,-24.24,0.27054429919546397,0.28618581569599916
7389,CG42825,-1.10181,-24.558432,0.27054429919546397,0.28618581569599916
7390,lncRNA:CR30009,-1.1099116,-24.139366,0.2670371626106407,0.28258858891345423
7391,Cyp4p2,-1.118013,-24.10809,0.26356142065295685,0.27905884621217025
7392,galene,-1.118013,-24.29804,0.26356142065295685,0.27905884621217025
7393,exu,-1.1249572,-1.4723516,0.2606071592627711,0.276151295509572
7394,stg,-1.1261146,-24.369013,0.2601170183685545,0.2756686217304028
7395,lncRNA:CR44082,-1.1342162,-24.169062,0.2567038972038218,0.2721601595637695
7396,CG32054,-1.1342162,-24.490742,0.2567038972038218,0.2721601595637695
7397,Cdk4,-1.1356307,-2.9704835,0.2561111585642978,0.271604092073717
7398,htl,-1.1469686,-0.7824031,0.2513946127030877,0.26688671768759176
7399,Ugt303A1,-1.15447,-0.6316449,0.2483075329686013,0.263750120765661
7400,Cyp9h1,-1.1585208,-24.244738,0.2466515818239734,0.26206113198998854
7401,qsm,-1.1591102,-1.2474943,0.24641128288258374,0.261840774427568
7402,Swim,-1.1626465,-0.4707114,0.2449729345506202,0.26041666703464483
7403,SoYb,-1.1747239,-24.298716,0.240105212410206,0.2554126417499104
7404,CG14301,-1.1828254,-24.40783,0.23687835236690735,0.25218229086252214
7405,Alp5,-1.1834255,-3.0208807,0.23664055094489167,0.251962828758581
7406,Tollo,-1.1861367,-0.91131294,0.23556830189138478,0.25085471163413586
7407,Best2,-1.1907448,-1.4721832,0.2337537985835363,0.24898909032740438
7408,sano,-1.1909269,-24.814034,0.23368226653940882,0.24896414225074387
7409,Pvf2,-1.1913341,-0.6937936,0.23352242749198426,0.24884254925809382
7410,ovo,-1.1923414,-2.0217311,0.23312736921818256,0.24845483819061528
7411,inaF-A,-1.1990285,-24.397104,0.23051686920391257,0.24580436253938104
7412,CG30154,-1.2152315,-24.269293,0.2242777812324812,0.23953661578493263
7413,lncRNA:CR43882,-1.2152315,-24.260801,0.2242777812324812,0.23953661578493263
7414,lncRNA:CR46208,-1.2215863,-1.0327423,0.22186409069004498,0.23711780553270684
7415,bond,-1.2233331,-25.198215,0.2212039034123955,0.23644397894967173
7416,lncRNA:CR32730,-1.2293342,-4.6061506,0.21894650661170956,0.23412538574803124
7417,lncRNA:CR46032,-1.2476377,-24.2965,0.21216374766178148,0.2270859692899568
7418,CG3987,-1.2476377,-24.423958,0.21216374766178148,0.2270859692899568
7419,CG2145,-1.2683417,-3.9353004,0.2046759534300453,0.21957351575006478
7420,CG43678,-1.2719424,-24.531176,0.20339359230987752,0.21828608430344057
7421,Nplp2,-1.2719424,-24.902552,0.20339359230987752,0.21828608430344057
7422,Hsp70Bc,-1.281437,-0.95214415,0.20004019848728127,0.21483199834843766
7423,CG11275,-1.2875239,-1.2268988,0.19791173729170575,0.21268964584184255
7424,CG44838,-1.287974,-2.8319228,0.1977550114393255,0.21254991708920887
7425,Tsf1,-1.296247,-24.616524,0.1948903975146432,0.20952757987559711
7426,tutl,-1.3003514,-3.936967,0.19348057053297818,0.20806808010700897
7427,CG34211,-1.3012837,-4.1963286,0.19316136914457804,0.20775288338131037
7428,CG32236,-1.3020338,-0.89397836,0.19290482142540233,0.2075330459211648
7429,pdm3,-1.302634,-5.0760665,0.19269976357942975,0.20734046482745455
7430,ths,-1.3043486,-24.834803,0.19211476678291517,0.20673897090660112
7431,CG31104,-1.3043486,-24.425491,0.19211476678291517,0.20673897090660112
7432,Nach,-1.3043486,-24.440483,0.19211476678291517,0.20673897090660112
7433,Vsx1,-1.3061061,-2.354107,0.19151650132670994,0.2061787953549688
7434,dpr10,-1.310639,-4.8379593,0.18997974279122654,0.20463510256805684
7435,bib,-1.3205516,-24.459852,0.18665090547778995,0.20124011876154568
7436,nau,-1.3205516,-24.373785,0.18665090547778995,0.20124011876154568
7437,CG1265,-1.3243667,-3.7205615,0.18538130280718312,0.20003386510878124
7438,CG44325,-1.3255562,-1.1396928,0.18498675273303256,0.1996351952545364
7439,pyx,-1.3286532,-24.521854,0.18396241581969663,0.19855666768496955
7440,Vsx2,-1.3286532,-24.44124,0.18396241581969663,0.19855666768496955
7441,CG14142,-1.3294677,-3.0205474,0.183693738859386,0.198320464945992
7442,svp,-1.3343114,-0.7024021,0.18210182018508092,0.1967619314218109
7443,TTLL1B,-1.3366262,-2.8729646,0.18134470352381282,0.19599707975910188
7444,CG6910,-1.3367547,-24.56297,0.18130271009360344,0.19597830634727553
7445,tinc,-1.3398732,-3.4687638,0.18028657797936876,0.1949063942050796
7446,mex1,-1.3448563,-24.525946,0.17867165282263775,0.19329178806787736
7447,Pif1A,-1.3448563,-24.417223,0.17867165282263775,0.19329178806787736
7448,sut1,-1.3471282,-0.9663769,0.17793896763157313,0.19260386826869177
7449,Sp212,-1.3529578,-24.721409,0.17606910624889982,0.19070958310220382
7450,lncRNA:CR44923,-1.3529578,-24.45726,0.17606910624889982,0.19070958310220382
